City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Albion,Pennsylvania,1342,1243,Erie,292991,$41750,15.6%,47,$127000,1033,$123,64,69.86%,$580,43.58%,N/A,N/A,11.7%,5.25%,57.17%,Erie County,46.40%,48.00%,0.97%,1.27%,94.41%,2.38%,3.28%,Eastern Standard Time,81,33,48,50.4,106.4,8.5,69,918,3.5,1.08,PA-00628,41.8904182,-80.3640636,47%,64%,31%,65%,63%,37.2,39,58,58,18,14.06,11.0,53.26%,45.16%,66.0%,48,84
Amity township (Erie Cnty),Pennsylvania,943,34,Erie,292991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erie County,46.40%,48.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,33,48,49.99,101.6,8.5,86,1281,3.5,27.74,PA-02336,41.9684534,-79.8249106,47%,64%,30%,65%,63%,37.2,39,58,59,17,13.92,11.43,46.96%,35.6%,62.33%,52,84
Avonia,Pennsylvania,1496,569,Erie,292991,$82375,33.96%,39,$463000,2858,$162,53,99.06%,N/A,42.72%,N/A,N/A,0.4%,2.61%,67.52%,Erie County,46.40%,48.00%,1.2%,0.33%,95.59%,2.87%,1.74%,Eastern Standard Time,82,36,46,44.97,101.6,8.5,80,669,3.5,2.63,PA-03676,42.0470422,-80.2765167,47%,64%,31%,65%,63%,37.2,39,58,65,22,10.91,10.96,46.96%,35.6%,62.33%,52,85
Concord township (Erie Cnty),Pennsylvania,1187,36,Erie,292991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erie County,46.40%,48.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,33,48,49.99,88.7,8.5,86,1281,3.5,32.97,PA-15504,41.882799,-79.6862186,47%,64%,30%,65%,63%,37.2,39,58,59,17,13.92,11.43,44.25%,38.68%,55.11%,39,84
Conneaut township (Erie Cnty),Pennsylvania,4371,101,Erie,292991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erie County,46.40%,48.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,33,48,50.4,106.4,8.5,82,918,3.5,43.28,PA-15736,41.8871492,-80.4301932,47%,64%,31%,65%,63%,37.2,39,58,58,18,14.06,11.0,53.26%,45.16%,66.0%,48,84
Corry,Pennsylvania,6285,1049,Erie,292991,$34126,17.81%,43,$101000,1485,$68,69,61.06%,$694,46.43%,N/A,N/A,22.75%,8.84%,48.31%,Erie County,46.40%,48.00%,0.0%,3.99%,87.56%,1.88%,1.07%,Eastern Standard Time,81,33,48,49.99,88.7,8.5,67,1281,3.5,5.99,PA-16296,41.9260085,-79.6358113,47%,64%,30%,65%,63%,37.2,39,58,59,17,13.92,11.43,51.7%,44.29%,64.11%,39,84
Cranesville,Pennsylvania,799,850,Erie,292991,$65000,27.37%,35,N/A,N/A,N/A,77,90.99%,$688,43.94%,N/A,N/A,7.51%,0.29%,56.84%,Erie County,46.40%,48.00%,0.25%,2.38%,96.75%,0.0%,0.25%,Eastern Standard Time,81,33,48,50.4,106.4,8.5,84,918,3.5,0.94,PA-16960,41.9040016,-80.3418078,47%,64%,31%,65%,63%,37.2,39,58,58,18,14.06,11.0,53.26%,45.16%,66.0%,48,84
Edinboro,Pennsylvania,5599,2445,Erie,292991,$33942,54.2%,24,$200000,1333,$150,47,43.76%,$830,66.47%,N/A,N/A,21.12%,2.01%,51.49%,Erie County,46.40%,48.00%,1.38%,2.23%,93.53%,1.89%,3.46%,Eastern Standard Time,81,33,48,49.43,101.6,8.5,76,1194,3.5,2.29,PA-22608,41.87617,-80.1245967,47%,64%,31%,65%,63%,37.2,39,58,59,17,14.46,11.01,46.96%,35.6%,62.33%,52,84
Elgin,Pennsylvania,229,156,Erie,292991,$48819,8.11%,54,N/A,N/A,N/A,N/A,91.27%,$925,28.64%,N/A,N/A,3.93%,2.97%,50.75%,Erie County,46.40%,48.00%,0.0%,0.44%,98.25%,1.31%,0.0%,Eastern Standard Time,81,33,48,49.99,88.7,8.5,86,1281,3.5,1.47,PA-22960,41.9070132,-79.746508,47%,64%,30%,65%,63%,37.2,39,58,59,17,13.92,11.43,44.25%,38.68%,55.11%,39,84
Elk Creek,Pennsylvania,1780,51,Erie,292991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erie County,46.40%,48.00%,N/A,N/A,N/A,N/A,N/A,Eastern Standard Time,81,33,48,50.4,106.4,8.5,84,918,3.5,34.9,PA-23088,41.8881854,-80.2889908,47%,64%,31%,65%,63%,37.2,39,58,58,18,14.06,11.0,53.26%,45.16%,66.0%,48,84
