City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Carlisle,Indiana,544,1046,Terre Haute,185632,$57639,11.79%,44,N/A,N/A,N/A,66,75.55%,$636,38.21%,N/A,N/A,26.75%,11.34%,66.14%,Sullivan County,24.70%,71.70%,0.0%,0.0%,92.65%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,6.9,79,808,4.2,0.52,IN-10270,38.9607781,-87.4014237,58%,72%,46%,58%,56%,42.8,45,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6
Cass township (Sullivan Cnty),Indiana,1939,51,Terre Haute,185632,$52364,N/A,N/A,N/A,N/A,N/A,45,68.90%,N/A,44.00%,N/A,N/A,N/A,4.30%,N/A,Sullivan County,24.70%,71.70%,4.1%,2.4%,89.9%,1.7%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,116,N/A,6.9,80,808,4.2,38.02,IN-10792,39.0867889,-87.2934381,58%,72%,46%,58%,56%,42.8,45,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Curry,Indiana,3476,99,Terre Haute,185632,$38607,11.02%,N/A,N/A,N/A,N/A,48,66.90%,N/A,46.60%,N/A,N/A,N/A,4.30%,N/A,Sullivan County,24.70%,71.70%,0.0%,0.0%,96.8%,2.2%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,118,N/A,6.9,78,808,4.2,35.11,IN-16390,39.2155897,-87.4065065,51%,64%,41%,60%,57%,41.0,42,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Dugger,Indiana,870,1475,Terre Haute,185632,$50417,7.72%,47,N/A,N/A,N/A,75,86.67%,$578,45.88%,N/A,N/A,5.76%,5.37%,63.43%,Sullivan County,24.70%,71.70%,0.0%,5.17%,86.44%,2.76%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,116,N/A,6.9,80,808,4.2,0.59,IN-18892,39.0703669,-87.2590383,58%,72%,46%,58%,56%,42.8,45,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Fairbanks,Indiana,723,18,Terre Haute,185632,$62105,N/A,N/A,N/A,N/A,N/A,35,86.80%,N/A,42.30%,N/A,N/A,N/A,4.30%,N/A,Sullivan County,24.70%,71.70%,0.0%,0.0%,88.1%,9.8%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,117,N/A,6.9,79,808,4.2,40.17,IN-22162,39.2135668,-87.5261036,51%,64%,41%,60%,57%,41.0,42,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Farmersburg,Indiana,1256,1697,Terre Haute,185632,$41976,10.72%,43,N/A,N/A,N/A,58,75.16%,$696,45.51%,N/A,N/A,13.93%,0.34%,55.66%,Sullivan County,24.70%,71.70%,0.0%,1.11%,96.18%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,118,N/A,6.9,78,808,4.2,0.74,IN-22738,39.2525185,-87.3807281,51%,64%,41%,60%,57%,41.0,42,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Gill,Indiana,933,16,Terre Haute,185632,$62188,16.25%,N/A,N/A,N/A,N/A,53,72.50%,N/A,44.80%,N/A,N/A,N/A,4.30%,N/A,Sullivan County,24.70%,71.70%,0.0%,0.0%,95.5%,2.9%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,6.9,79,808,4.2,58.31,IN-27666,39.0225123,-87.5064399,58%,72%,46%,58%,56%,42.8,45,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Haddon,Indiana,3846,54,Terre Haute,185632,$47500,8.02%,N/A,N/A,N/A,N/A,51,61.30%,N/A,69.40%,N/A,N/A,N/A,4.30%,N/A,Sullivan County,24.70%,71.70%,0.0%,19.1%,74.3%,2.9%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,111,N/A,6.9,79,808,4.2,71.22,IN-30348,38.9621022,-87.4010747,58%,72%,46%,58%,56%,42.8,45,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6
Hamilton township (Sullivan Cnty),Indiana,6693,3187,Terre Haute,185632,$39435,N/A,N/A,$400000,1493,$268,50,53.80%,N/A,50.70%,N/A,N/A,N/A,4.30%,N/A,Sullivan County,24.70%,71.70%,1.3%,0.0%,97.3%,0.4%,N/A,Eastern Standard Time,N/A,N/A,N/A,N/A,116,N/A,6.9,76,808,4.2,2.1,IN-30672,39.11085,-87.3977444,58%,72%,46%,58%,56%,42.8,45,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
Hymera,Indiana,989,1393,Terre Haute,185632,$38194,3.68%,37,N/A,N/A,N/A,67,68.86%,$730,35.63%,N/A,N/A,17.66%,9.32%,55.14%,Sullivan County,24.70%,71.70%,0.0%,0.0%,98.69%,0.0%,0.0%,Eastern Standard Time,N/A,N/A,N/A,N/A,118,N/A,6.9,78,808,4.2,0.71,IN-35500,39.1858771,-87.2989285,51%,64%,41%,60%,57%,41.0,42,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9
