City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude
Isleton,California,649,1475,Sacramento--Roseville--Arden-Arcade,2379368,$59250,11.58%,32,$320000,1270,$252,51,60.2%,$1164,65.57%,824,471,20.18%,13.29%,61.44%,Sacramento County,58.00%,33.80%,3.39%,0.46%,42.06%,40.37%,7.24%,Pacific Standard Time,92,57,35,60,41,45%,28%,46,51,90,77%,96%,51%,12.88,0.22,6.96,13.62%,1.1%,26.78%,0.0,0,7.7,3.7,60,54,5.2,0.44,CA-36882,38.1617118,-121.605259
La Riviera,California,11503,6054,Sacramento--Roseville--Arden-Arcade,2379368,$91111,37.93%,34,$477000,1529,$312,46,56.87%,$1757,52.8%,N/A,N/A,10.27%,3.02%,71.75%,Sacramento County,58.00%,33.80%,10.83%,10.55%,49.68%,19.79%,14.54%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.12,0.19,10.12,15.59%,1.21%,30.33%,0.0,0,6.3,4.5,29,60,5.2,1.9,CA-40410,38.5682464,-121.3544337
Lemon Hill,California,14942,9111,Sacramento--Roseville--Arden-Arcade,2379368,$49441,8.9%,29,$421000,1577,$267,58,31.6%,$1376,59.49%,N/A,N/A,28.27%,9.32%,60.8%,Sacramento County,58.00%,33.80%,23.64%,14.17%,13.15%,42.92%,29.82%,Pacific Standard Time,93,57,36,60,38,45%,30%,46,52,91,77%,96%,51%,16.94,0.17,9.17,14.85%,1.1%,28.11%,0.0,0,6.3,4.5,26,15,5.2,1.64,CA-41142,38.5172316,-121.457279
McClellan Park,California,1665,409,Sacramento--Roseville--Arden-Arcade,2379368,$24866,16.39%,20,N/A,N/A,N/A,30,0.0%,$1283,67.21%,N/A,N/A,46.85%,6.34%,57.53%,Sacramento County,58.00%,33.80%,0.6%,17.42%,37.9%,22.04%,13.99%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.97,0.21,10.64,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,25,87,5.2,4.07,CA-44760,38.6628976,-121.4016555
North Highlands,California,47900,5437,Sacramento--Roseville--Arden-Arcade,2379368,$65090,14.93%,35,$391000,1140,$343,50,46.51%,$1585,54.63%,N/A,N/A,19.59%,6.38%,62.67%,Sacramento County,58.00%,33.80%,6.98%,8.94%,44.63%,32.64%,27.65%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.97,0.21,10.64,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,22,87,5.2,8.81,CA-51924,38.6713235,-121.3721345
Orangevale,California,35219,3076,Sacramento--Roseville--Arden-Arcade,2379368,$98158,30.55%,42,$505000,1399,$361,44,74.42%,$1866,49.74%,N/A,N/A,9.2%,4.54%,61.55%,Sacramento County,58.00%,33.80%,2.85%,1.85%,73.66%,15.39%,8.65%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,22.49,0.24,11.48,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,42,144,5.2,11.45,CA-54092,38.6880946,-121.2208686
Parkway,California,15880,6589,Sacramento--Roseville--Arden-Arcade,2379368,$64380,11.37%,33,$435000,1330,$327,57,45.2%,$1402,57.16%,N/A,N/A,19.33%,10.03%,59.68%,Sacramento County,58.00%,33.80%,19.12%,15.4%,12.76%,48.24%,26.85%,Pacific Standard Time,93,57,36,60,38,45%,30%,46,52,91,77%,96%,51%,16.94,0.17,9.17,14.85%,1.1%,28.11%,0.0,0,6.3,4.5,26,15,5.2,2.41,CA-55800,38.4992934,-121.4520124
Rancho Cordova,California,80656,2333,Sacramento--Roseville--Arden-Arcade,2379368,$89120,31.04%,35,$510000,1700,$300,41,56.44%,$1698,48.28%,296,1874,11.19%,6.99%,66.48%,Sacramento County,58.00%,33.80%,14.48%,10.8%,46.54%,21.31%,24.94%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.12,0.19,10.12,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,39,60,5.2,34.57,CA-59444,38.57367,-121.2527356
Rancho Murieta,California,5606,472,Sacramento--Roseville--Arden-Arcade,2379368,$129767,57.75%,55,$707000,2380,$297,29,92.38%,$3333,37.56%,N/A,N/A,4.53%,2.46%,54.95%,Sacramento County,58.00%,33.80%,4.94%,4.57%,68.55%,18.96%,4.07%,Pacific Standard Time,94,56,38,63,38,45%,30%,46,52,93,77%,96%,51%,22.54,0.21,11.28,16.58%,1.65%,30.89%,0.5,0,6.3,4.5,68,330,5.2,11.88,CA-59506,38.5085326,-121.0715857
Rio Linda,California,16951,1707,Sacramento--Roseville--Arden-Arcade,2379368,$96083,16.54%,38,$440000,1606,$274,49,70.27%,$1781,46.57%,N/A,N/A,11.65%,4.55%,58.76%,Sacramento County,58.00%,33.80%,7.54%,2.73%,60.99%,25.52%,16.44%,Pacific Standard Time,94,56,38,60,37,45%,30%,46,52,93,77%,96%,51%,19.97,0.21,10.64,16.58%,1.65%,30.89%,0.0,0,6.3,4.5,32,87,5.2,9.93,CA-60942,38.6875014,-121.4416816
Rosemont,California,23448,5341,Sacramento--Roseville--Arden-Arcade,2379368,$86178,30.12%,36,$423000,1339,$316,44,53.84%,$1719,57.32%,N/A,N/A,15.48%,6.6%,63.77%,Sacramento County,58.00%,33.80%,13.34%,12.3%,45.63%,21.82%,17.32%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.12,0.19,10.12,15.59%,1.21%,30.33%,0.0,0,6.3,4.5,29,60,5.2,4.39,CA-62910,38.5477288,-121.3553715
Sacramento,California,524802,5322,Sacramento--Roseville--Arden-Arcade,2379368,$83753,36.42%,36,$464000,1459,$318,44,52.33%,$1694,56.9%,627,3182,14.37%,6.16%,64.78%,Sacramento County,58.00%,33.80%,19.71%,12.43%,30.18%,29.5%,21.26%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,18.93,0.17,10.26,15.59%,1.21%,30.33%,0.0,0,6.3,4.5,24,30,5.2,98.61,CA-64000,38.5676634,-121.4685298
Vineyard,California,42645,2274,Sacramento--Roseville--Arden-Arcade,2379368,$108403,31.32%,37,$513000,1660,$309,20,74.43%,$1984,44.82%,N/A,N/A,12.61%,5.55%,63.12%,Sacramento County,58.00%,33.80%,39.91%,10.05%,22.78%,20.04%,31.86%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,17.61,0.15,9.43,15.59%,1.21%,30.33%,0.0,0,6.3,4.5,46,36,5.2,18.75,CA-82852,38.464488,-121.346917
Walnut Grove,California,970,95,Sacramento--Roseville--Arden-Arcade,2379368,$88269,51.86%,34,N/A,N/A,N/A,74,52.95%,$1380,50.0%,N/A,N/A,13.71%,0.0%,61.74%,Sacramento County,58.00%,33.80%,5.67%,0.0%,46.29%,48.04%,17.32%,Pacific Standard Time,93,57,36,60,38,45%,28%,46,51,91,77%,96%,51%,17.17,0.17,9.33,13.62%,1.1%,26.78%,0.0,0,7.7,3.7,55,39,5.2,10.2,CA-83374,38.247771,-121.5279688
Wilton,California,6198,214,Sacramento--Roseville--Arden-Arcade,2379368,$171579,34.18%,51,$1020000,2779,$367,37,82.47%,$1792,48.07%,N/A,N/A,5.43%,1.94%,55.94%,Sacramento County,58.00%,33.80%,8.24%,2.63%,61.71%,22.28%,7.71%,Pacific Standard Time,95,57,38,62,40,45%,30%,46,52,94,77%,96%,51%,19.12,0.19,10.12,13.62%,1.1%,26.78%,0.0,0,6.3,4.5,61,60,5.2,29.0,CA-85880,38.4129759,-121.2127112
