City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Abington,Indiana,898,43,Richmond,112496,$49281,16.42%,N/A,N/A,N/A,N/A,52,67.00%,N/A,27.10%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,2.86%,N/A,N/A,N/A,N/A,N/A,85,37,48,44.37,131,24.9,8.3,80,918,3.8,20.88,IN-00172,39.7489035,-84.9925524,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Boston,Indiana,160,727,Richmond,112496,$34583,5.66%,55,N/A,N/A,N/A,80,51.25%,$930,50.0%,N/A,N/A,27.27%,10.77%,51.59%,Wayne County,32.50%,62.70%,0.0%,0.0%,98.13%,0.0%,0.0%,N/A,85,37,48,44.37,134,24.9,8.3,80,918,3.8,0.22,IN-06652,39.741178,-84.8517206,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,38.6%,37.47%,40.78%,15
Boston township,Indiana,160,727,Richmond,112496,$34583,5.66%,55,N/A,N/A,N/A,80,51.25%,$930,50.0%,N/A,N/A,27.27%,10.77%,51.59%,Wayne County,32.50%,62.70%,0.0%,0.0%,98.13%,0.0%,0.0%,N/A,85,37,48,44.37,130,24.9,8.3,80,918,3.8,0.22,IN-06652,39.741178,-84.8517206,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,38.6%,37.47%,40.78%,15
Cambridge City,Indiana,1648,1632,Richmond,112496,$37917,7.55%,41,$200000,3448,$58,76,73.06%,$675,58.73%,N/A,N/A,19.23%,6.63%,64.56%,Wayne County,32.50%,62.70%,0.0%,0.42%,96.78%,1.09%,0.24%,N/A,83,34,49,43.72,128,24.9,8.3,77,1005,3.8,1.01,IN-09874,39.8124581,-85.1703294,53%,66%,41%,60%,55%,38.6,41,61,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
Center township (Wayne Cnty),Indiana,7436,177,Richmond,112496,$46290,N/A,N/A,N/A,N/A,N/A,49,75.30%,N/A,44.20%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,1.60%,N/A,N/A,85,37,48,44.37,131,24.9,8.3,74,918,3.8,42.01,IN-11710,39.8227844,-84.9980997,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Centerville,Indiana,2587,735,Richmond,112496,$46500,13.06%,40,$53000,815,$65,58,72.62%,$857,52.6%,N/A,N/A,13.59%,4.68%,62.02%,Wayne County,32.50%,62.70%,0.0%,1.04%,90.1%,6.26%,1.35%,N/A,85,37,48,44.37,131,24.9,8.3,75,918,3.8,3.52,IN-11836,39.8253987,-84.999018,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Clay township (Wayne Cnty),Indiana,1017,1883,Richmond,112496,$52188,N/A,N/A,N/A,N/A,N/A,63,63.00%,N/A,37.80%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,1.30%,N/A,N/A,85,37,48,44.37,128,24.9,8.3,78,918,3.8,0.54,IN-13258,39.8953136,-85.0498155,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.07,9.52,32.36%,33.52%,30.22%,15
Dalton,Indiana,374,24,Richmond,112496,$46786,N/A,N/A,N/A,N/A,N/A,69,73.90%,N/A,20.90%,N/A,N/A,N/A,3.90%,N/A,Wayne County,32.50%,62.70%,N/A,N/A,N/A,N/A,N/A,N/A,83,34,49,44.67,127,24.9,8.3,79,1068,3.8,15.58,IN-16714,39.9758566,-85.1634626,53%,66%,41%,60%,55%,38.6,41,61,61,18,13.03,8.9,36.22%,35.38%,39.56%,15
Dublin,Indiana,951,1829,Richmond,112496,$48241,19.14%,46,N/A,N/A,N/A,79,78.02%,$613,42.79%,N/A,N/A,6.31%,3.16%,58.0%,Wayne County,32.50%,62.70%,0.0%,0.21%,98.11%,0.95%,0.0%,N/A,83,34,49,43.72,125,24.9,8.3,77,1005,3.8,0.52,IN-18766,39.8126953,-85.2055528,51%,64%,41%,60%,57%,41.0,42,63,61,18,12.51,8.64,32.36%,33.52%,30.22%,15
East Germantown,Indiana,337,2808,Richmond,112496,$45208,7.88%,49,N/A,N/A,N/A,61,71.22%,$770,53.36%,N/A,N/A,13.95%,0.0%,62.67%,Wayne County,32.50%,62.70%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,85,37,48,43.72,128,24.9,8.3,77,1005,3.8,0.12,IN-19756,39.8131627,-85.1370248,53%,66%,41%,60%,55%,38.6,41,61,64,20,12.51,8.64,32.36%,33.52%,30.22%,15
