City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Antares,Arizona,163,251,Lake Havasu City-Kingman,188218,$35938,12.68%,62,N/A,N/A,N/A,38,56.44%,$691,23.94%,N/A,N/A,26.42%,0.0%,12.68%,Mohave County,21.80%,72.90%,0.0%,0.0%,79.14%,17.18%,0.0%,Mountain Standard Time,99,56,43,7.5,28,0.0,6.2,87,3126,6,0.65,AZ-02410,35.4229913,-113.808288,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Arizona Village,Arizona,822,517,Lake Havasu City-Kingman,188218,$26944,14.36%,44,$512000,2535,$202,27,32.24%,$516,55.51%,N/A,N/A,42.33%,8.82%,51.59%,Mohave County,21.80%,72.90%,0.0%,0.0%,36.5%,13.75%,2.19%,Mountain Standard Time,111,64,47,3.91,22,0.0,N/A,65,813,6,1.59,AZ-03915,34.8548364,-114.5893385,84%,90%,77%,20%,14%,13.4,29,39,87,45,0.93,1.54,5.62%,4.62%,8.78%,0
Beaver Dam,Arizona,1727,203,Lake Havasu City-Kingman,188218,$24865,4.72%,61,N/A,N/A,N/A,29,51.07%,$686,46.12%,N/A,N/A,31.21%,12.6%,31.51%,Mohave County,21.80%,72.90%,0.0%,0.0%,56.46%,39.84%,13.14%,Mountain Standard Time,110,60,50,9.63,35,0.0,N/A,89,1767,6,8.49,AZ-05490,36.9069803,-113.9361802,84%,90%,77%,20%,14%,13.4,29,39,75,33,1.95,3.27,9.53%,6.04%,16.22%,0
Bullhead City,Arizona,39824,671,Lake Havasu City-Kingman,188218,$37121,9.61%,N/A,$299000,1495,$200,26,41.50%,N/A,52.80%,318,3335,11.7%,6.70%,N/A,Mohave County,21.80%,72.90%,1.26%,1.70%,N/A,25.00%,10.2%,Mountain Standard Time,110,63,47,4.76,22,0.0,N/A,70,552,6,59.37,AZ-90470,34.9895821,-114.3668089,84%,90%,77%,20%,14%,13.4,29,39,83,44,0.77,2.28,5.64%,4.84%,8.33%,0
Cane Beds,Arizona,380,46,Lake Havasu City-Kingman,188218,$43523,8.18%,19,N/A,N/A,N/A,23,81.58%,N/A,60.47%,N/A,N/A,30.79%,7.2%,63.45%,Mohave County,21.80%,72.90%,0.0%,0.0%,91.84%,0.0%,0.0%,Mountain Standard Time,95,47,48,13.52,61,2.1,6.2,89,4500,6,8.29,AZ-09900,36.9341542,-112.9117866,84%,90%,77%,20%,14%,13.4,29,39,62,22,3.39,4.47,16.9%,13.63%,23.11%,0
Centennial Park,Arizona,1123,518,Lake Havasu City-Kingman,188218,$64483,6.25%,16,N/A,N/A,N/A,26,72.75%,N/A,47.28%,N/A,N/A,27.69%,5.62%,75.88%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,95,47,48,13.52,57,2.1,6.2,89,4500,6,2.17,AZ-11500,36.9538064,-112.981325,84%,90%,77%,20%,14%,13.4,29,39,62,22,3.39,4.47,16.9%,13.63%,23.11%,0
Chloride,Arizona,397,263,Lake Havasu City-Kingman,188218,$27438,10.34%,67,N/A,N/A,N/A,34,70.03%,$518,56.76%,N/A,N/A,36.02%,0.0%,16.45%,Mohave County,21.80%,72.90%,0.0%,0.0%,87.91%,10.08%,0.0%,Mountain Standard Time,99,56,43,7.76,28,0.0,6.2,85,3189,6,1.51,AZ-12910,35.4097025,-114.1972424,84%,90%,77%,20%,14%,13.4,29,39,71,30,1.98,2.63,10.52%,11.76%,13.89%,0
Clacks Canyon,Arizona,337,102,Lake Havasu City-Kingman,188218,$94048,23.92%,40,N/A,N/A,N/A,44,94.66%,N/A,53.36%,N/A,N/A,5.93%,0.0%,60.42%,Mohave County,21.80%,72.90%,0.0%,5.34%,94.66%,0.0%,0.0%,Mountain Standard Time,99,56,43,7.5,29,0.0,6.2,80,3126,6,3.32,AZ-13850,35.2203595,-114.0723006,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Colorado City,Arizona,4873,530,Lake Havasu City-Kingman,188218,$41250,11.57%,18,N/A,N/A,N/A,28,19.29%,N/A,62.59%,N/A,N/A,37.71%,15.62%,51.04%,Mohave County,21.80%,72.90%,0.0%,0.0%,99.61%,0.39%,0.0%,Mountain Standard Time,95,47,48,13.52,57,2.1,6.2,89,4500,6,9.2,AZ-14870,36.9773285,-112.9868535,84%,90%,77%,20%,14%,13.4,29,39,62,22,3.39,4.47,16.9%,13.63%,23.11%,0
Desert Hills,Arizona,2580,599,Lake Havasu City-Kingman,188218,$50150,19.9%,64,$849000,2139,$397,25,71.15%,$596,42.23%,N/A,N/A,5.4%,10.16%,39.71%,Mohave County,21.80%,72.90%,2.64%,0.0%,84.84%,11.24%,3.53%,Mountain Standard Time,109,65,44,4.22,22,0.0,6.1,69,411,6,4.31,AZ-18740,34.5505608,-114.3754068,84%,90%,77%,20%,14%,13.4,29,39,84,44,0.79,1.84,5.45%,5.05%,8.78%,0
Dolan Springs,Arizona,1989,34,Lake Havasu City-Kingman,188218,$28292,14.48%,58,$128000,1438,$89,34,88.84%,$930,31.53%,N/A,N/A,40.93%,3.04%,26.2%,Mohave County,21.80%,72.90%,0.0%,0.0%,75.01%,24.99%,16.49%,Mountain Standard Time,99,56,43,7.76,30,0.0,N/A,88,3189,6,58.13,AZ-19630,35.5904638,-114.2851394,84%,90%,77%,20%,14%,13.4,29,39,71,30,1.98,2.63,10.52%,11.76%,13.89%,0
Fort Mohave,Arizona,16016,959,Lake Havasu City-Kingman,188218,$58890,12.13%,56,$328000,1547,$212,20,81.04%,$926,42.31%,N/A,N/A,11.15%,11.02%,45.54%,Mohave County,21.80%,72.90%,1.7%,1.4%,71.68%,20.35%,5.2%,Mountain Standard Time,110,63,47,5.94,22,0.0,N/A,68,624,6,16.7,AZ-24895,35.000436,-114.574867,84%,90%,77%,20%,14%,13.4,29,39,83,44,1.27,2.41,5.64%,4.84%,8.33%,0
Golden Shores,Arizona,1282,157,Lake Havasu City-Kingman,188218,$27955,11.84%,64,$349000,1670,$209,33,60.06%,$767,60.98%,N/A,N/A,17.78%,0.0%,26.01%,Mohave County,21.80%,72.90%,0.0%,0.0%,92.2%,7.02%,0.0%,Mountain Standard Time,111,64,47,3.91,21,0.0,N/A,66,813,6,8.14,AZ-28190,34.7818825,-114.4777467,84%,90%,77%,20%,14%,13.4,29,39,87,45,0.93,1.54,5.62%,4.62%,8.78%,0
Golden Valley,Arizona,8161,104,Lake Havasu City-Kingman,188218,$40430,5.26%,62,$290000,1585,$183,24,89.71%,$714,48.74%,N/A,N/A,18.32%,9.64%,30.15%,Mohave County,21.80%,72.90%,0.8%,0.1%,84.98%,8.8%,1.84%,Mountain Standard Time,99,56,43,7.5,29,0.0,6.2,83,3126,6,78.75,AZ-28195,35.2060612,-114.2327653,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Hackberry,Arizona,191,11,Lake Havasu City-Kingman,188218,$53750,3.26%,58,N/A,N/A,N/A,17,83.25%,N/A,23.37%,N/A,N/A,1.05%,0.0%,54.89%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,99,56,43,7.5,36,9.7,6.2,83,3126,6,17.59,AZ-30830,35.3400982,-113.7256292,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,3
Kaibab,Arizona,142,22,Lake Havasu City-Kingman,188218,$34583,2.06%,26,N/A,N/A,N/A,35,64.08%,$325,87.39%,N/A,N/A,28.17%,1.11%,76.27%,Mohave County,21.80%,72.90%,2.11%,16.9%,0.7%,0.0%,0.0%,Mountain Standard Time,95,47,48,13.52,61,2.1,6.2,89,4500,6,6.46,AZ-36500,36.8814714,-112.7236444,76%,79%,73%,39%,35%,54.8,26,39,62,22,3.39,4.47,12.77%,12.31%,16.56%,0
Katherine,Arizona,118,31,Lake Havasu City-Kingman,188218,$27011,11.02%,61,N/A,N/A,N/A,40,83.9%,N/A,59.32%,N/A,N/A,0.0%,0.0%,43.22%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,110,63,47,4.76,23,0.0,N/A,85,552,6,3.78,AZ-36920,35.2206085,-114.5615285,84%,90%,77%,20%,14%,13.4,29,39,83,44,0.77,2.28,5.64%,4.84%,8.33%,0
Kingman,Arizona,30433,810,Lake Havasu City-Kingman,188218,$51081,18.89%,43,$274000,1450,$189,25,65.15%,$883,50.27%,N/A,N/A,13.61%,6.39%,49.93%,Mohave County,21.80%,72.90%,1.91%,1.67%,75.99%,15.64%,3.85%,Mountain Standard Time,99,56,43,7.5,28,0.0,6.2,78,3126,6,37.55,AZ-37620,35.2169926,-114.0105319,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Lake Havasu City,Arizona,53463,1154,Lake Havasu City-Kingman,188218,$42718,15.75%,N/A,$475000,1644,$289,24,52.40%,N/A,42.70%,N/A,N/A,7.2%,5.70%,N/A,Mohave County,21.80%,72.90%,1.06%,N/A,N/A,15.10%,8%,Mountain Standard Time,105,64,41,8.78,22,0.0,6.1,66,1839,6,46.34,AZ-91964,34.644756,-113.8161016,85%,89%,80%,23%,19%,25.0,40,51,72,34,2.36,3.35,5.45%,5.05%,8.78%,0
Lazy Y U,Arizona,244,16,Lake Havasu City-Kingman,188218,$73229,55.61%,63,$450000,1731,$260,17,100.0%,N/A,21.72%,N/A,N/A,0.0%,0.0%,52.46%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,99,56,43,7.5,28,0.0,6.2,83,3126,6,15.71,AZ-40400,35.1369134,-113.9684658,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Littlefield,Arizona,330,28,Lake Havasu City-Kingman,188218,$90250,0.0%,24,N/A,N/A,N/A,22,0.0%,N/A,40.0%,N/A,N/A,0.0%,0.0%,77.88%,Mohave County,21.80%,72.90%,0.0%,0.0%,0.0%,100.0%,22.12%,Mountain Standard Time,110,60,50,9.63,35,0.0,N/A,89,1767,6,11.8,AZ-41470,36.8659284,-113.9359635,84%,90%,77%,20%,14%,13.4,29,39,75,33,1.95,3.27,9.53%,6.04%,16.22%,0
Meadview,Arizona,1503,48,Lake Havasu City-Kingman,188218,$48236,4.6%,68,N/A,N/A,N/A,29,96.81%,N/A,47.93%,N/A,N/A,18.5%,39.51%,5.42%,Mohave County,21.80%,72.90%,0.0%,0.0%,99.4%,0.0%,2.0%,Mountain Standard Time,107,57,50,7.76,28,0.0,6.2,87,3189,6,31.04,AZ-45285,35.9531734,-114.0788643,84%,90%,77%,20%,14%,13.4,29,39,85,41,1.98,2.63,7.81%,6.04%,12.78%,0
Mesquite Creek,Arizona,517,507,Lake Havasu City-Kingman,188218,$48393,15.05%,68,$235000,1366,$172,23,85.3%,$1077,38.08%,N/A,N/A,5.68%,2.72%,30.75%,Mohave County,21.80%,72.90%,1.55%,0.58%,85.69%,9.28%,6.38%,Mountain Standard Time,111,64,47,5.94,22,0.0,N/A,68,624,6,1.02,AZ-46087,34.9606578,-114.5714021,84%,90%,77%,20%,14%,13.4,29,39,87,45,1.27,2.41,5.62%,4.62%,8.78%,0
Mohave Valley,Arizona,2809,200,Lake Havasu City-Kingman,188218,$54385,6.82%,40,$230000,1299,$177,29,82.98%,$785,52.66%,N/A,N/A,11.43%,6.78%,52.58%,Mohave County,21.80%,72.90%,0.0%,0.0%,79.1%,11.75%,2.17%,Mountain Standard Time,111,64,47,3.91,22,0.0,N/A,65,813,6,14.02,AZ-47400,34.900834,-114.5732552,84%,90%,77%,20%,14%,13.4,29,39,87,45,0.93,1.54,5.62%,4.62%,8.78%,0
Mojave Ranch Estates,Arizona,8,11,Lake Havasu City-Kingman,188218,$47500,0.0%,N/A,N/A,N/A,N/A,21,100.0%,N/A,100.0%,N/A,N/A,0.0%,0.0%,0.0%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,111,64,47,3.91,22,0.0,N/A,68,813,6,0.75,AZ-47495,34.9449015,-114.590643,84%,90%,77%,20%,14%,13.4,29,39,87,45,0.93,1.54,5.62%,4.62%,8.78%,0
New Kingman-Butler,Arizona,12981,2612,Lake Havasu City-Kingman,188218,$36169,7.53%,49,$208000,1137,$183,32,63.6%,$775,53.74%,N/A,N/A,27.23%,8.79%,47.29%,Mohave County,21.80%,72.90%,1.02%,0.22%,82.51%,11.36%,6.43%,Mountain Standard Time,99,56,43,7.5,30,0.0,6.2,76,3126,6,4.97,AZ-49270,35.2644859,-114.0090738,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Peach Springs,Arizona,1363,172,Lake Havasu City-Kingman,188218,$38095,4.65%,28,N/A,N/A,N/A,44,40.45%,$519,67.07%,N/A,N/A,37.16%,14.41%,51.52%,Mohave County,21.80%,72.90%,0.0%,0.0%,1.76%,7.19%,0.51%,Mountain Standard Time,92,51,41,7.5,41,9.7,6.2,90,5022,6,7.91,AZ-53770,35.531448,-113.431978,76%,79%,73%,39%,35%,54.8,26,39,56,22,2.12,2.5,10.52%,11.76%,13.89%,3
Pine Lake,Arizona,117,69,Lake Havasu City-Kingman,188218,$35500,0.0%,68,N/A,N/A,N/A,34,100.0%,N/A,38.46%,N/A,N/A,13.68%,0.0%,37.61%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,99,56,43,7.5,28,0.0,6.2,83,3126,6,1.69,AZ-55845,35.0886994,-113.8739281,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Pinion Pines,Arizona,188,125,Lake Havasu City-Kingman,188218,$69338,37.23%,75,N/A,N/A,N/A,26,71.81%,N/A,45.74%,N/A,N/A,11.17%,0.0%,0.0%,Mohave County,21.80%,72.90%,0.0%,0.0%,100.0%,0.0%,0.0%,Mountain Standard Time,99,56,43,7.5,28,0.0,6.2,83,3126,6,1.5,AZ-55983,35.1466302,-113.9058135,84%,90%,77%,20%,14%,13.4,29,39,71,30,2.12,2.5,10.52%,11.76%,13.89%,0
Scenic,Arizona,1758,107,Lake Havasu City-Kingman,188218,$44510,5.75%,53,N/A,N/A,N/A,16,70.36%,$831,51.55%,N/A,N/A,27.82%,0.0%,33.21%,Mohave County,21.80%,72.90%,0.0%,0.0%,69.45%,30.55%,8.87%,Mountain Standard Time,110,60,50,6.42,35,0.0,N/A,89,1440,6,16.36,AZ-64650,36.792967,-114.0149884,84%,90%,77%,20%,14%,13.4,29,39,75,33,0.91,2.56,9.53%,6.04%,16.22%,0
