City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code
Gahanna,Ohio,34691,2791,Columbus,2138946,85,37,48,40,136,177,23,60.6,42.6,7,10,31,39,48.46%,$73583,3.2%,$1112,949,$272300,1791,$152,33,71.70%,6%,36%,34%,50,21 mins,3.70%,0.90%,6.50%,Franklin County,59.80%,33.90%,3.4%,11.8%,79.4%,2.5%,5.4%,Eastern Standard Time,833,5.6,43.50%,24,24,36,18.1%,7.12,9,2,0,N/A,N/A,OH-29106
Grandview Heights,Ohio,7377,5627,Columbus,2138946,85,37,48,40,125,177,22,60.8,42.8,7,7,27,34,73.63%,$82007,1.3%,$1399,834,$433000,1627,$266,77,59.30%,2%,41%,51%,43,17 mins,3.90%,0.90%,12.70%,Franklin County,59.80%,33.90%,2.2%,1.0%,92.7%,1.7%,3.4%,Eastern Standard Time,833,5.6,45.70%,66,N/A,53,17.8%,0.00,9,2,0,N/A,N/A,OH-31304
Grove City,Ohio,39266,2307,Columbus,2138946,85,37,48,40,125,175,22,60.8,42.8,7,7,51,39,34.14%,$66964,4.8%,$1051,931,$240000,1666,$144,26,67.00%,7%,37%,32%,59,23 mins,3.50%,0.90%,15.70%,Franklin County,59.80%,33.90%,1.3%,3.7%,91.1%,1.3%,2.9%,Eastern Standard Time,833,5.6,42.40%,25,N/A,49,19.0%,17.60,9,2,0,N/A,N/A,OH-32592
Groveport,Ohio,5563,639,Columbus,2138946,86,37,49,40,124,173,21,60.8,42.8,7,11,46,42,26.02%,$58082,3.4%,$1019,942,$190000,1439,$132,31,68.50%,10%,40%,32%,63,22 mins,3.90%,0.90%,9.50%,Franklin County,59.80%,33.90%,4.2%,19.4%,73.7%,1.9%,6.9%,Eastern Standard Time,833,5.6,44.40%,51,N/A,42,18.0%,26.27,9,2,0,N/A,N/A,OH-32606
Hamilton township (Franklin Cnty),Ohio,8586,656,Columbus,2138946,86,37,49,40,124,175,22,N/A,N/A,N/A,10,32,40,N/A,$42611,N/A,N/A,N/A,$117500,N/A,N/A,50,71.50%,6%,40%,34%,61,22 mins,3.90%,0.90%,4.90%,Franklin County,59.80%,33.90%,0.7%,5.0%,89.1%,2.8%,N/A,Eastern Standard Time,833,5.6,48.70%,5,N/A,29,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A
Harrisburg,Ohio,473,3052,Columbus,2138946,85,37,48,40,122,174,21,60.8,42.8,7,10,36,39,16.40%,$38864,8.4%,N/A,N/A,$136400,N/A,N/A,78,60.00%,6%,40%,34%,72,21 mins,3.90%,0.90%,72.00%,Franklin County,59.80%,33.90%,0.0%,0.0%,99.6%,0.4%,0%,Eastern Standard Time,833,5.6,51.00%,17,N/A,34,18.5%,0.00,10,1,0,N/A,N/A,OH-33740
Hilliard,Ohio,34386,2410,Columbus,2138946,85,36,49,39,136,176,22,60.8,42.8,7,10,23,36,54.66%,$88203,3.7%,$1198,949,$274900,1750,$157,24,68.50%,3%,34%,33%,59,22 mins,3.60%,0.90%,25.00%,Franklin County,59.80%,33.90%,6.0%,3.7%,85.4%,3.1%,6.1%,Eastern Standard Time,833,5.6,39.10%,22,N/A,42,17.8%,11.71,8,2,0,N/A,N/A,OH-35476
Huber Ridge,Ohio,4635,4427,Columbus,2138946,85,36,49,40,136,175,22,60.8,42.8,N/A,9,30,31,31.61%,$58375,5.7%,$1190,1023,$168600,N/A,N/A,49,63.10%,6%,39%,32%,44,22 mins,3.90%,0.90%,3.70%,Franklin County,59.80%,33.90%,0.1%,11.0%,77.8%,2.6%,4.6%,Eastern Standard Time,833,5.6,52.30%,28,N/A,41,19.9%,0.00,8,2,0,N/A,N/A,OH-36624
Jackson township (Franklin Cnty),Ohio,44628,1257,Columbus,2138946,85,37,48,40,125,175,22,N/A,N/A,N/A,12,37,40,N/A,$65837,N/A,N/A,N/A,$179600,N/A,N/A,30,67.80%,6%,40%,33%,59,23 mins,3.90%,0.90%,14.60%,Franklin County,59.80%,33.90%,1.4%,4.9%,89.7%,1.5%,N/A,Eastern Standard Time,833,5.6,42.20%,0,N/A,39,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A
Jefferson township (Franklin Cnty),Ohio,11189,755,Columbus,2138946,86,37,49,40,127,175,23,N/A,N/A,N/A,7,23,38,N/A,$127104,N/A,N/A,N/A,$286800,N/A,N/A,16,91.10%,6%,42%,34%,61,25 mins,3.90%,0.90%,13.20%,Franklin County,59.80%,33.90%,2.5%,15.9%,78.3%,2.0%,N/A,Eastern Standard Time,833,5.6,33.50%,1,N/A,19,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A
