City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F)
Bainbridge Island,Washington,24859,900,Bremerton-Silverdale,272787,$125861,72.88%,50,$992000,2129,$466,32,82.72%,$1612,33.05%,39,901,3.69%,3.25%,56.38%,Kitsap County,49.00%,38.10%,2.97%,0.38%,88.16%,3.19%,7.47%,Pacific Standard Time,78,45,33,44,157,4,7.9,60,125,2.7,27.61,WA-03736,47.6488738,-122.5155015,45%,60%,27%,63%,50%,6.8,42,51
Bangor Base,Washington,6825,614,Bremerton-Silverdale,272787,$66736,25.01%,23,N/A,N/A,N/A,28,1.01%,$1783,55.0%,N/A,N/A,10.73%,0.58%,86.14%,Kitsap County,49.00%,38.10%,1.83%,6.04%,62.37%,17.25%,3.28%,Pacific Standard Time,78,45,33,42,154,4,7.9,76,125,2.7,11.11,WA-04100,47.7227993,-122.7145394,45%,60%,27%,63%,50%,6.8,42,51
Bethel,Washington,4182,1323,Bremerton-Silverdale,272787,$72989,20.77%,39,$603000,1861,$324,31,85.36%,$1139,39.88%,N/A,N/A,8.63%,9.76%,60.34%,Kitsap County,49.00%,38.10%,9.23%,0.72%,73.51%,3.28%,11.1%,Pacific Standard Time,78,45,33,51,158,4,7.9,61,125,2.7,3.16,WA-05735,47.4874012,-122.617518,45%,60%,27%,63%,50%,6.8,42,51
Bremerton,Washington,41258,1451,Bremerton-Silverdale,272787,$57963,25.59%,32,$435000,1559,$279,56,47.81%,$1135,59.96%,403,3258,14.84%,6.06%,65.86%,Kitsap County,49.00%,38.10%,5.3%,5.74%,66.95%,12.23%,7.08%,Pacific Standard Time,78,45,33,49,158,3,7.9,53,125,2.7,28.43,WA-07695,47.5436176,-122.7120621,45%,60%,27%,63%,50%,6.8,42,51
Burley,Washington,2515,529,Bremerton-Silverdale,272787,$81641,27.1%,36,N/A,N/A,N/A,28,67.36%,$1606,42.95%,N/A,N/A,12.52%,0.0%,67.79%,Kitsap County,49.00%,38.10%,0.0%,0.0%,86.04%,7.36%,1.51%,Pacific Standard Time,76,45,31,51,158,3,7.9,66,125,2.7,4.75,WA-08885,47.4166227,-122.6377396,45%,60%,27%,63%,50%,6.8,42,51
Chico,Washington,3184,1321,Bremerton-Silverdale,272787,$109936,33.63%,45,$647000,2128,$304,35,88.63%,$2094,32.67%,N/A,N/A,2.61%,3.44%,61.29%,Kitsap County,49.00%,38.10%,11.81%,3.61%,73.05%,2.45%,10.96%,Pacific Standard Time,78,45,33,48,157,3,7.9,69,125,2.7,2.41,WA-12175,47.6225553,-122.7193067,45%,60%,27%,63%,50%,6.8,42,51
East Port Orchard,Washington,5069,3270,Bremerton-Silverdale,272787,$59864,22.97%,35,$400000,1114,$359,42,65.4%,$1261,45.13%,N/A,N/A,10.87%,1.34%,64.51%,Kitsap County,49.00%,38.10%,6.16%,5.11%,72.56%,7.22%,5.6%,Pacific Standard Time,78,45,33,46,158,4,7.9,59,125,2.7,1.55,WA-19770,47.519334,-122.6183152,45%,60%,27%,63%,50%,6.8,42,51
Enetai,Washington,1993,1898,Bremerton-Silverdale,272787,$63906,30.42%,37,$360000,942,$382,58,77.22%,$1109,46.73%,N/A,N/A,6.12%,8.66%,61.13%,Kitsap County,49.00%,38.10%,5.42%,1.71%,75.72%,11.59%,9.68%,Pacific Standard Time,78,45,33,47,158,4,7.9,57,125,2.7,1.05,WA-21800,47.588551,-122.605277,45%,60%,27%,63%,50%,6.8,42,51
Erlands Point-Kitsap Lake,Washington,2973,1699,Bremerton-Silverdale,272787,$54982,27.83%,N/A,$550000,2015,$273,45,66.50%,$1404,47.40%,N/A,N/A,8.5%,5.10%,N/A,Kitsap County,49.00%,38.10%,3.0%,0.0%,79.1%,8.9%,4.6%,Pacific Standard Time,78,45,33,50,158,3,7.9,68,125,2.7,1.75,WA-22118,47.5972633,-122.7021509,45%,60%,27%,63%,50%,6.8,42,51
Gorst,Washington,255,398,Bremerton-Silverdale,272787,$64663,19.67%,42,$224000,996,$225,65,85.1%,$1430,43.03%,N/A,N/A,14.9%,0.0%,44.67%,Kitsap County,49.00%,38.10%,0.0%,0.0%,100.0%,0.0%,10.2%,Pacific Standard Time,78,45,33,51,158,3,7.9,71,125,2.7,0.64,WA-27680,47.5239631,-122.7051662,45%,60%,27%,63%,50%,6.8,42,51
