City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F)
Apple Mountain Lake,Virginia,1345,782,Washington-Arlington-Alexandria,6324629,$71736,23.01%,42,$270000,1038,$260,24,87.21%,N/A,36.59%,N/A,N/A,14.13%,0.0%,64.76%,Warren County,28.80%,65.60%,0.0%,0.59%,95.61%,3.27%,7.06%,Eastern Standard Time,87,43,44,42,116,22,7.2,77,26,4,1.72,VA-02064,38.9231111,-78.1033462,55%,61%,52%,53%,53%,26.6,43,63,65,24
Front Royal,Virginia,15214,1481,Washington-Arlington-Alexandria,6324629,$51675,17.47%,38,$288000,1548,$186,48,59.15%,$974,55.89%,182,1910,15.78%,7.29%,63.65%,Warren County,28.80%,65.60%,1.32%,7.27%,77.51%,7.18%,5.82%,Eastern Standard Time,87,43,44,39,112,22,7.2,65,26,4,10.27,VA-29968,38.9260132,-78.1838047,55%,61%,52%,53%,53%,26.6,43,63,65,24
Shenandoah Farms,Virginia,3729,287,Washington-Arlington-Alexandria,6324629,$75188,18.99%,35,$300000,1327,$226,21,85.06%,$1202,41.41%,N/A,N/A,17.05%,5.98%,60.94%,Warren County,28.80%,65.60%,0.43%,0.35%,94.02%,2.49%,2.52%,Eastern Standard Time,87,43,44,40,112,22,7.2,77,26,4,13.01,VA-71810,38.9752045,-78.0482199,55%,61%,52%,53%,53%,26.6,43,63,65,24
Shenandoah Shores,Virginia,777,801,Washington-Arlington-Alexandria,6324629,$78105,30.24%,30,$376000,1586,$237,30,94.98%,N/A,53.1%,N/A,N/A,0.64%,10.62%,73.5%,Warren County,28.80%,65.60%,1.42%,0.0%,90.09%,5.66%,9.01%,Eastern Standard Time,87,43,44,39,112,22,7.2,73,26,4,0.97,VA-71826,38.9620694,-78.1414606,55%,61%,52%,53%,53%,26.6,43,63,65,24
Skyland Estates,Virginia,941,394,Washington-Arlington-Alexandria,6324629,$74375,19.52%,44,$290000,790,$367,31,87.57%,N/A,51.85%,N/A,N/A,6.27%,0.0%,65.44%,Warren County,28.80%,65.60%,0.0%,9.03%,90.97%,0.0%,4.04%,Eastern Standard Time,87,43,44,42,116,22,7.2,77,26,4,2.39,VA-72935,38.932855,-78.0849827,55%,61%,52%,53%,53%,26.6,43,63,65,24
