City,State,Population,People per sq mi,Metro Name,Metro population,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,Elevation (ft),UV Index,Land Area (sq mi),Fips Code,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year,Hottest month's avg heat index high (F)
Adams (Green Cnty),Wisconsin,492,167,Madison,593060,$70673,N/A,N/A,N/A,N/A,N/A,76,73.40%,N/A,36.90%,477,3552,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,27,56,41.98,35.9,8.1,84,726,3.5,2.95,WI-00325,42.7267988,-89.7788937,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.76,5.42,33.56%,35.16%,32.11%,24,85
Albany (Green Cnty),Wisconsin,961,757,Madison,593060,$67500,N/A,N/A,$265000,1568,$169,34,88.00%,N/A,39.60%,100,905,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,2.30%,N/A,Central Standard Time,84,28,56,41.39,55.1,8.1,83,810,3.5,1.27,WI-00775,42.726726,-89.4265429,52%,64%,45%,60%,57%,40.5,37,58,61,11,15.3,5.74,35.07%,37.25%,32.56%,34,87
Brodhead,Wisconsin,3211,1784,Madison,593060,$43790,11.15%,42,$240000,1500,$160,54,74.29%,$716,60.25%,0,679,18.29%,6.91%,63.83%,Green County,48.00%,45.80%,0.5%,0.0%,96.48%,2.3%,1.99%,Central Standard Time,84,28,56,40.72,39.7,8.1,81,714,3.5,1.8,WI-09925,42.616837,-89.3756035,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.93,6.02,35.07%,37.25%,32.56%,26,87
Brooklyn (Green Cnty),Wisconsin,1173,1047,Madison,593060,$76429,N/A,N/A,$236000,1326,$178,31,87.40%,N/A,37.40%,67,271,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,28,55,41.39,55.1,8.1,83,810,3.5,1.12,WI-10100,42.8118847,-89.4293656,52%,64%,45%,60%,57%,40.5,37,58,61,11,15.3,5.74,28.14%,30.88%,25.0%,34,85
Browntown,Wisconsin,255,243,Madison,593060,$56250,9.38%,47,$80000,1311,$61,73,82.75%,N/A,38.46%,N/A,N/A,6.8%,14.09%,73.79%,Green County,48.00%,45.80%,0.0%,0.0%,98.43%,0.0%,1.18%,Central Standard Time,83,27,56,41.51,35.9,8.1,85,906,3.5,1.05,WI-10475,42.5787896,-89.7894065,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.04,5.81,33.56%,35.16%,32.11%,24,85
Cadiz,Wisconsin,807,22,Madison,593060,$49583,17.78%,N/A,N/A,N/A,N/A,55,72.60%,N/A,31.90%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,27,56,41.29,35.9,8.1,85,765,3.5,36.68,WI-11725,42.5499927,-89.7784266,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.32,5.5,33.56%,35.16%,32.11%,24,85
Clarno,Wisconsin,1293,35,Madison,593060,$62639,21.57%,N/A,N/A,N/A,N/A,42,72.20%,N/A,42.00%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,5.70%,N/A,Central Standard Time,83,27,56,41.51,39.5,8.1,81,906,3.5,36.94,WI-15000,42.5486322,-89.6614621,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.04,5.81,33.56%,35.16%,32.11%,20,85
Decatur,Wisconsin,1517,44,Madison,593060,$66510,26.70%,N/A,N/A,N/A,N/A,26,82.20%,N/A,35.30%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,1.10%,N/A,Central Standard Time,84,28,56,40.72,39.5,8.1,83,714,3.5,34.48,WI-19075,42.6410657,-89.4288183,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.93,6.02,35.07%,37.25%,32.56%,20,87
Exeter,Wisconsin,2234,64,Madison,593060,$89211,34.31%,N/A,N/A,N/A,N/A,19,86.40%,N/A,32.30%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,2.40%,N/A,Central Standard Time,84,28,56,41.39,55.1,8.1,83,810,3.5,34.91,WI-24725,42.8132653,-89.5446899,52%,64%,45%,60%,57%,40.5,37,58,61,11,15.3,5.74,33.92%,35.38%,31.44%,34,87
Jefferson (Green Cnty),Wisconsin,1257,216,Madison,593060,$56078,N/A,N/A,$233000,1752,$133,58,83.40%,N/A,36.20%,111,1604,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,4.90%,N/A,Central Standard Time,83,27,56,41.51,39.5,8.1,85,906,3.5,5.82,WI-37875,42.5490324,-89.5428718,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.04,5.81,33.56%,35.16%,32.11%,20,85
Jordan,Wisconsin,544,15,Madison,593060,$62986,19.96%,N/A,N/A,N/A,N/A,55,69.00%,N/A,34.40%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,27,56,41.98,35.9,8.1,85,726,3.5,36.27,WI-38550,42.6397287,-89.7786566,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.76,5.42,33.56%,35.16%,32.11%,24,85
Juda,Wisconsin,322,1238,Madison,593060,$60833,9.96%,44,$138000,1769,$78,56,84.16%,$592,43.85%,N/A,N/A,10.87%,2.53%,80.16%,Green County,48.00%,45.80%,0.0%,0.0%,99.69%,0.0%,0.0%,Central Standard Time,84,28,56,40.72,39.5,8.1,85,714,3.5,0.26,WI-38600,42.5899611,-89.5092203,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.93,6.02,35.07%,37.25%,32.56%,20,87
Monroe,Wisconsin,10688,1909,Madison,593060,$39441,19.49%,N/A,$172000,1445,$119,51,58.90%,N/A,50.90%,66,1167,7.1%,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,4.60%,2.6%,Central Standard Time,83,27,56,41.51,35.9,8.1,75,906,3.5,5.6,WI-53775,42.643141,-89.6628579,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.04,5.81,33.56%,35.16%,32.11%,24,85
Monroe (Green Cnty),Wisconsin,1220,218,Madison,593060,$73636,N/A,N/A,$172000,1445,$119,34,83.50%,N/A,39.40%,66,1167,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,3.90%,N/A,Central Standard Time,83,27,56,41.51,35.9,8.1,81,906,3.5,5.6,WI-53775,42.643141,-89.6628579,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.04,5.81,33.56%,35.16%,32.11%,24,85
Mount Pleasant town,Wisconsin,602,18,Madison,593060,$57679,N/A,N/A,$238000,1488,$160,55,80.00%,N/A,40.70%,147,1980,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,1.80%,N/A,Central Standard Time,83,27,56,41.39,39.5,8.1,83,810,3.5,33.88,WI-54850,42.7258258,-89.5429957,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.3,5.74,33.56%,35.16%,32.11%,20,85
Spring Grove,Wisconsin,857,22,Madison,593060,$55769,16.10%,N/A,N/A,N/A,N/A,47,75.60%,N/A,36.90%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,8.50%,N/A,Central Standard Time,84,28,56,40.72,39.5,8.1,82,714,3.5,38.95,WI-76075,42.5487557,-89.4249068,52%,64%,45%,60%,57%,40.5,37,58,61,11,14.93,6.02,35.07%,37.25%,32.56%,20,87
Sylvester,Wisconsin,1023,29,Madison,593060,$70625,29.97%,N/A,N/A,N/A,N/A,39,86.10%,N/A,31.00%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,3.81%,N/A,N/A,2.20%,N/A,Central Standard Time,83,27,56,41.39,39.5,8.1,84,810,3.5,35.28,WI-78875,42.6395798,-89.5431216,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.3,5.74,33.56%,35.16%,32.11%,20,85
Washington (Green Cnty),Wisconsin,781,22,Madison,593060,$76250,N/A,N/A,N/A,N/A,N/A,37,81.70%,N/A,28.10%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,1.50%,N/A,Central Standard Time,83,27,56,41.39,35.9,8.1,84,810,3.5,35.5,WI-83625,42.7268163,-89.6612518,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.3,5.74,33.56%,35.16%,32.11%,24,85
York (Green Cnty),Wisconsin,1140,32,Madison,593060,$84444,N/A,N/A,N/A,N/A,N/A,22,86.10%,N/A,29.50%,N/A,N/A,N/A,2.80%,N/A,Green County,48.00%,45.80%,N/A,N/A,N/A,N/A,N/A,Central Standard Time,83,27,56,41.98,35.9,8.1,84,726,3.5,35.63,WI-89475,42.8139245,-89.7791957,52%,64%,45%,60%,57%,40.5,37,58,63,11,15.76,5.42,33.92%,35.38%,31.44%,24,85
